h_score,gdp,familiy_size,life_expct,freedom,generosity,trust
5.3239998817,1.2860119343,1.3431330919,0.6877634525,0.1758635193,0.0784016624,0.0366369374
5.3109998703,0.9255793095,1.3682180643,0.6410223842,0.4743072391,0.2338183373,0.055267781
5.2930002213,1.2225562334,0.9679830074,0.7012885213,0.2557722926,0.2480029762,0.04310311
5.2789998055,0.9514843822,1.1378535032,0.5414520502,0.2602879405,0.3199314475,0.0574716181
5.2729997635,1.0811657906,1.1608374119,0.7414155006,0.472787708,0.028806841,0.0227942746
5.2690000534,0.7268835306,0.6726906896,0.4020477831,0.2352152616,0.3154460192,0.1243480667
5.2620000839,0.9955385923,1.2744446993,0.4923457205,0.4433234632,0.6117045879,0.0153171355
5.25,1.128431201,1.431337595,0.617144227,0.1539971232,0.0650196299,0.064491123
5.2369999886,1.1211290359,1.2383764982,0.6674646735,0.1949890554,0.1979110241,0.0881741941
5.2350001335,0.8781145811,0.7748644352,0.597710669,0.4081583321,0.0322099552,0.0877631828
5.234000206,1.1536017656,1.1524002552,0.5407757759,0.3981558383,0.0452693403,0.1809875071
5.2300000191,1.0793738365,1.4024167061,0.5748737454,0.5525898337,0.1869678497,0.1139452532
5.2270002365,1.2894874811,1.2394145727,0.8101989031,0.0957312509,0,0.0432897769
5.2249999046,1.0749875307,1.1296242476,0.7350810766,0.288515985,0.2644507587,0.0375138298
5.1950001717,1.3151752949,1.3670430183,0.7958435416,0.4984652996,0.0951027125,0.0158694517
5.1820001602,0.9824094176,1.0693359375,0.7051863074,0.2044031769,0.3288674951,0
5.1810002327,0.7305731177,1.1439449787,0.5825694799,0.3480798602,0.2361888736,0.0733454525
5.1750001907,1.0645779371,1.207893014,0.6449481845,0.3259059787,0.2537609637,0.0602777936
5.1510000229,0.0226431843,0.7211513519,0.1139891371,0.602126956,0.2916313112,0.2824103236
5.0739998817,0.7885475755,1.2774913311,0.6521689892,0.5710555911,0.2349680513,0.0876332372
5.0739998817,0.7837562561,1.215770483,0.0569157302,0.3949525654,0.2309471965,0.0261215661
5.0409998894,0.5247136354,1.271463275,0.5292351246,0.4715667069,0.2489976436,0.1463771462
5.0110001564,0.8854163885,1.3401265144,0.4958792925,0.5015376806,0.4740545452,0.1733803898
5.0040001869,0.5962200761,1.3942385912,0.5534577966,0.4549433887,0.4285803735,0.039439179
4.9619998932,0.4798201919,1.1792832613,0.5041307807,0.4403059483,0.3940961659,0.0729755461
4.9549999237,1.0272358656,1.4930112362,0.5577834845,0.3941439688,0.3384642303,0.0329022892
4.8289999962,1.0546987057,1.3847886324,0.1870800704,0.4792467356,0.1393623799,0.0725094974
4.8049998283,1.0072658062,0.8683514595,0.613212049,0.2896806896,0.0496933572,0.0867231488
4.7750000954,0.7162492275,1.1556471586,0.5656669736,0.2547110617,0.1141731739,0.0892826021
4.7350001335,0.9897018075,0.9974713922,0.5201872587,0.2821101546,0.1286314428,0.1143813655
4.7140002251,1.1614590883,1.4343794584,0.7082176805,0.2892317176,0.1131776944,0.0110515309
4.7090001106,0.3684209287,0.984136045,0.0055647539,0.318697691,0.2930409014,0.071095176
4.6950001717,0.5643053651,0.946018219,0.1328921169,0.4303887486,0.2362984568,0.0513066314
4.6919999123,1.156873107,0.711551249,0.6393331885,0.2493226081,0.3872429132,0.0487610735
4.6440000534,0.9961927533,0.8036852479,0.7311597466,0.3814986348,0.2013129443,0.039864216
4.6079998016,0.5866829753,0.7351317406,0.5332410336,0.4783566594,0.1722553521,0.1237178594
4.5739998817,0.9644343257,1.0984708071,0.3386118114,0.5203035474,0.077133745,0.0931469724
4.5529999733,0.5604794621,1.0679507256,0.3099883497,0.4527637661,0.4448603094,0.0646413192
4.5500001907,0.23430565,0.870701015,0.1066544354,0.4807910919,0.3222281039,0.1794363856
4.5450000763,0.3671105504,1.1232359409,0.3975225687,0.5144920349,0.838075161,0.1888162047
4.5349998474,0.4793090224,1.1796919107,0.4093628526,0.3779222667,0.1834688932,0.115460448
4.513999939,0.6364067793,1.0031872988,0.2578358948,0.4616034925,0.2495801449,0.0782135502
4.4970002174,1.1027104855,0.9786131978,0.50118047,0.2885555327,0.199637264,0.1072157547
4.4650001526,1.1982102394,1.1556202173,0.3565785885,0.312328577,0.0437853783,0.0760467872
4.4600000381,0.3392338455,0.8646692038,0.3534097075,0.4088427424,0.3126507401,0.1654557139
4.4400000572,1.0098501444,1.259976387,0.6251308322,0.5612132549,0.4908635616,0.0736539662
